频率(Hz),功率谱密度
1.691183533909017456e+01,5.438157653808593750e+01
1.705762702304784995e+01,4.882557296752929688e+01
1.720341870700552178e+01,4.267956542968750000e+01
1.734921039096319717e+01,4.178147888183593750e+01
1.749500207492086901e+01,4.569013977050781250e+01
1.764079375887854439e+01,4.414445114135742188e+01
1.778658544283621623e+01,4.790412521362304688e+01
1.793237712679389162e+01,5.854018402099609375e+01
1.807816881075156701e+01,6.151580810546875000e+01
1.822396049470923884e+01,6.682320404052734375e+01
1.836975217866691423e+01,6.855390930175781250e+01
1.851554386262458607e+01,7.274616241455078125e+01
1.866133554658226146e+01,7.053751373291015625e+01
1.880712723053993685e+01,6.403802490234375000e+01
1.895291891449760868e+01,5.944610214233398438e+01
1.909871059845528407e+01,6.020331192016601562e+01
1.924450228241295591e+01,6.772703552246093750e+01
1.939029396637063130e+01,7.477794647216796875e+01
1.953608565032830668e+01,8.219141387939453125e+01
1.968187733428597852e+01,9.161616516113281250e+01
1.982766901824365391e+01,9.810197448730468750e+01
1.997346070220132574e+01,1.028450164794921875e+02
2.011925238615900113e+01,1.025702514648437500e+02
2.026504407011667297e+01,1.077012557983398438e+02
2.041083575407434836e+01,1.040310287475585938e+02
2.055662743803202375e+01,1.352629394531250000e+02
2.070241912198969558e+01,1.692287597656250000e+02
2.084821080594737097e+01,1.563944549560546875e+02
2.099400248990504281e+01,1.183011398315429688e+02
2.113979417386271820e+01,9.403794860839843750e+01
2.128558585782039358e+01,7.218769073486328125e+01
2.143137754177806542e+01,6.347497940063476562e+01
2.157716922573574081e+01,6.183919906616210938e+01
2.172296090969341265e+01,7.217070770263671875e+01
2.186875259365108803e+01,6.987729644775390625e+01
2.201454427760875987e+01,6.106287765502929688e+01
2.216033596156643526e+01,5.304846954345703125e+01
2.230612764552411065e+01,5.724623489379882812e+01
2.245191932948178248e+01,5.382702636718750000e+01
2.259771101343945787e+01,4.515134048461914062e+01
2.274350269739712971e+01,4.643021011352539062e+01
2.288929438135480510e+01,4.351601028442382812e+01
2.303508606531248049e+01,4.318900680541992188e+01
2.318087774927015232e+01,4.322735595703125000e+01
2.332666943322782771e+01,4.041876602172851562e+01
2.347246111718549955e+01,4.087400054931640625e+01
2.361825280114317493e+01,4.400047302246093750e+01
2.376404448510085032e+01,4.371319198608398438e+01
2.390983616905852216e+01,4.255346298217773438e+01
2.405562785301619755e+01,4.375677108764648438e+01
2.420141953697386938e+01,4.446308135986328125e+01
2.434721122093154477e+01,4.248048019409179688e+01
2.449300290488921661e+01,4.050915145874023438e+01
2.463879458884689200e+01,4.017087173461914062e+01
2.478458627280456739e+01,4.008747100830078125e+01
2.493037795676223922e+01,4.163918685913085938e+01
2.507616964071991461e+01,4.258187866210937500e+01
2.522196132467758645e+01,4.114147567749023438e+01
2.536775300863526184e+01,3.892300033569335938e+01
2.551354469259293722e+01,4.726116180419921875e+01
2.565933637655060906e+01,4.407346343994140625e+01
2.580512806050828445e+01,4.036449813842773438e+01
2.595091974446595628e+01,3.967854690551757812e+01
2.609671142842363167e+01,4.024449920654296875e+01
2.624250311238130351e+01,3.855786514282226562e+01
2.638829479633897890e+01,3.908343124389648438e+01
2.653408648029665429e+01,4.252670288085937500e+01
2.667987816425432612e+01,4.256003952026367188e+01
2.682566984821200151e+01,4.143033599853515625e+01
2.697146153216967335e+01,4.186684799194335938e+01
2.711725321612734874e+01,4.454761123657226562e+01
2.726304490008502412e+01,4.531185150146484375e+01
2.740883658404269596e+01,4.707028198242187500e+01
2.755462826800037135e+01,4.542633438110351562e+01
2.770041995195804319e+01,4.418578720092773438e+01
2.784621163591571857e+01,4.080989456176757812e+01
2.799200331987339041e+01,4.008799362182617188e+01
2.813779500383106580e+01,4.355639266967773438e+01
2.828358668778874119e+01,4.437621307373046875e+01
2.842937837174641302e+01,4.321290206909179688e+01
2.857517005570408841e+01,4.275412368774414062e+01
2.872096173966176025e+01,4.749645996093750000e+01
2.886675342361943564e+01,4.958165359497070312e+01
2.901254510757711103e+01,5.155080795288085938e+01
2.915833679153478286e+01,5.401264190673828125e+01
2.930412847549245825e+01,5.358192062377929688e+01
2.944992015945013009e+01,5.965138626098632812e+01
2.959571184340780547e+01,5.708106613159179688e+01
2.974150352736548086e+01,5.695880889892578125e+01
2.988729521132315270e+01,5.467477798461914062e+01
3.003308689528082809e+01,5.577647399902343750e+01
3.017887857923849992e+01,6.030772781372070312e+01
3.032467026319617531e+01,6.282705688476562500e+01
3.047046194715384715e+01,6.507054901123046875e+01
3.061625363111152254e+01,6.265553665161132812e+01
3.076204531506919793e+01,5.890022277832031250e+01
3.090783699902686976e+01,6.129864120483398438e+01
3.105362868298454515e+01,6.344891357421875000e+01
3.119942036694221699e+01,6.708600616455078125e+01
